,Period_EvCl,Period_StEv,Policy_agent_cat,FLAG_Owner_bl,FLAG_Insurer_bl,Policy_KBM,Policy_KS,Policy_KT,Policy_KVS,FLAG_Policy_KO,FLAG_Policy_KP,FLAG_Policy_KPR,FLAG_Policy_type,VEH_age,VEH_capacity_type,FLAG_bad_region,FLAG_dsago,FLAG_prolong,Policy_loss_count,Damage_count,Claim_type,FLAG_trial,Event_type_Классика,Event_type_ПВУ СП,Insurer_type_ПБОЮЛ,Insurer_type_Физическое Лицо,Insurer_type_Юридическое Лицо,Owner_region_Волгоградская область,Owner_region_Краснодарский край,Owner_region_Москва,Owner_region_Ростовская область,Owner_region_Челябинская область,Owner_type_ПБОЮЛ,Owner_type_Физическое Лицо,Owner_type_Юридическое Лицо,Sales_channel_Автодилеры,Sales_channel_Агенты и РБ,Sales_channel_ДКК,Sales_channel_Лизинг,Sales_channel_Прочие,Sales_channel_Собственные продажи,Sales_channel_Фронт-офис,VEH_aim_use_Дорожные и специальные ТС,VEH_aim_use_Личные,VEH_aim_use_Перевозка опасных и легко воспламеняющихся грузов,VEH_aim_use_Прокат/Краткосрочная аренда,VEH_aim_use_Прочие,VEH_aim_use_Регулярные/по заказам пассажирские перевозки,VEH_aim_use_Такси,VEH_aim_use_Учебная езда,VEH_aim_use_Экстренные и коммунальные службы,VEH_model_AUDI A4,VEH_model_AUDI A6,VEH_model_BMW 520,VEH_model_BMW X5,VEH_model_LEXUS RX,VEH_model_MERCEDES-BENZ C 180,VEH_model_MERCEDES-BENZ E 200,VEH_model_PORSCHE CAYENNE,VEH_model_TOYOTA LAND CRUISER,VEH_model_TOYOTA LAND CRUISER PRADO,VEH_type_name_Автобус более 16,VEH_type_name_Автобус менее 16,VEH_type_name_Автобус такси,VEH_type_name_Грузовой более 16,VEH_type_name_Грузовой менее 16,VEH_type_name_Легковой,VEH_type_name_Легковой такси,VEH_type_name_Мотоцикл,VEH_type_name_Трактор,Owner_region_another,VEH_model_another
42,11,58,0.060659212416387005,0,0,1.0,1.0,1.2,1.0,0,1,0,0,5.0,6.0,1,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
43,8,60,0.12075376151971999,0,0,1.0,1.0,1.1,1.0,1,1,0,0,1.0,5.0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
46,3,46,0.10562797188992999,0,0,1.0,1.0,1.1,1.0,0,1,0,1,5.0,4.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
49,2,32,0.08216778000836501,0,0,1.0,1.0,0.8,1.0,0,1,0,0,9.0,3.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
54,9,5,0.072320678732599,0,0,0.85,1.0,1.2,1.0,0,1,0,0,8.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
60,1,6,0.06053165321763201,0,0,1.0,1.0,1.3,1.0,0,1,0,0,28.0,2.0,1,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
62,8,4,0.12075376151971999,0,0,1.55,1.0,1.1,1.0,0,1,0,0,4.0,5.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
63,3,11,0.044309471473483006,0,0,1.0,1.0,0.9,1.0,0,1,0,0,6.0,4.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
64,448,48,0.0,1,1,1.0,1.0,0.8,1.0,1,1,0,0,33.0,3.0,1,0,1,7,1,2,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
68,6,365,0.08802886992894803,0,0,0.5,1.0,1.5,1.0,0,1,0,1,30.0,3.0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
72,2,334,0.044309471473483006,0,0,0.95,1.0,0.9,1.0,1,1,0,0,16.0,2.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
79,30,254,0.024282841576242,0,0,0.95,1.0,1.0,1.0,0,1,0,0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
84,21,217,0.25950357565103,1,1,0.6,1.0,1.7,1.0,0,1,0,1,28.0,7.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
88,16,180,0.099886976428786,0,0,1.0,1.0,2.1,1.0,0,1,0,1,1.0,4.0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
102,0,110,0.083022474458588,0,0,1.4,1.0,2.0,1.0,0,1,0,1,8.0,5.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
103,6,110,0.058852569149698,1,1,1.4,1.0,1.7,1.0,0,1,0,1,4.0,5.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
106,3,98,0.14111439457914998,0,0,0.95,1.0,1.0,1.0,1,1,0,0,19.0,7.0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
109,5,71,0.06053165321763201,0,0,0.9,1.0,1.0,1.0,0,1,0,0,7.0,5.0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
111,2,58,0.043361212132597,0,0,0.9,1.0,0.8,1.0,0,1,0,1,4.0,6.0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
116,7,32,0.14849303317994,0,0,0.9,1.0,2.0,1.0,0,1,0,1,7.0,4.0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
117,11,37,0.051589362654632,0,0,1.0,1.0,1.7,1.0,1,1,0,0,9.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
131,12,1,0.090017654928153,0,0,0.95,1.0,1.7,1.0,0,1,0,0,17.0,6.0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
137,1,3,0.065834096841187,0,0,0.5,1.0,2.0,1.0,0,1,0,0,2.0,3.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
143,8,328,0.04998967516594901,0,0,0.95,0.5,1.2,1.0,0,1,0,1,7.0,3.0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
145,11,328,0.065172250537647,0,0,0.75,1.0,1.7,1.0,0,1,0,0,14.0,4.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
150,5,291,0.034209976436046,0,0,0.9,1.0,1.0,1.0,0,1,0,0,5.0,3.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
153,13,262,0.027671858596482003,0,0,0.9,1.0,1.0,1.0,0,1,0,0,14.0,3.0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
155,121,133,0.044729859074548,0,0,0.85,1.0,0.7,1.0,0,1,0,0,27.0,6.0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
175,9,127,0.076274544924571,0,0,1.0,1.0,1.0,1.0,1,1,0,0,22.0,3.0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
180,7,63,0.11070359252458001,0,0,0.6,1.0,1.8,1.0,0,1,0,0,18.0,5.0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
185,9,21,0.06053165321763201,0,0,1.0,1.0,0.6,1.0,1,1,0,0,5.0,1.0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
196,0,9,0.060663096320184004,0,0,0.95,1.0,1.3,1.0,0,1,0,0,5.0,5.0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
203,189,285,0.072320678732599,0,0,1.0,1.0,1.8,1.8,0,1,0,0,11.0,3.0,0,0,0,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
217,20,229,0.054612673527095,0,0,0.9,1.0,1.3,1.0,0,1,0,0,10.0,5.0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
218,21,202,0.11236312447092,0,0,1.0,1.0,0.8,1.0,1,1,0,0,10.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
228,25,141,0.10347448697815,0,0,0.85,1.0,1.7,1.0,1,1,0,0,4.0,6.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
242,61,72,0.059581084708348,0,0,1.0,1.0,1.3,1.7,0,1,0,0,15.0,3.0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
246,13,82,0.08616325706850199,0,0,0.95,1.0,1.6,1.0,0,1,0,0,6.0,5.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
250,3,96,0.14922006656984,0,0,0.9,1.0,0.8,1.0,0,1,0,1,6.0,5.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
253,35,19,0.06053165321763201,0,0,0.9,1.0,0.6,1.0,0,1,0,1,14.0,5.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
254,14,39,0.09883080941263901,0,0,1.0,1.0,1.6,1.0,0,1,0,0,19.0,4.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
265,5,15,0.06760954870657,0,0,0.6,1.0,1.7,1.0,0,1,0,1,9.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
267,16,13,0.10461569039912,0,0,0.85,1.0,1.7,1.0,0,1,0,0,15.0,6.0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
275,4,23,0.06053165321763201,0,0,1.0,1.0,0.6,1.0,0,1,0,0,13.0,3.0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
279,160,277,0.35741845967088,0,0,1.0,1.0,2.0,1.0,1,1,0,0,1.0,4.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
283,3,339,0.071083324648469,0,0,0.55,1.0,1.6,1.0,0,1,0,1,8.0,4.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
288,5,305,0.05568647750878201,0,0,0.95,1.0,0.8,1.0,0,1,0,0,6.0,3.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
297,96,133,0.028107194355384998,0,0,0.9,1.0,0.7,1.0,0,1,0,0,22.0,3.0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
303,3,197,0.029257058593802,0,0,1.0,1.0,0.6,1.0,0,1,0,0,14.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
316,10,130,0.06053165321763201,0,0,0.9,1.0,1.2,1.0,0,1,0,1,19.0,6.0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
319,17,107,0.06053165321763201,0,0,0.55,1.0,1.3,1.0,0,1,0,0,14.0,3.0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
326,3,68,0.05986081008430799,0,0,0.85,1.0,1.8,1.0,0,1,0,0,4.0,6.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
327,23,61,0.06053165321763201,0,0,1.0,1.0,0.7,1.0,0,1,0,0,8.0,3.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
328,18,80,0.13519243608609,0,0,1.0,1.0,1.3,1.0,0,1,0,0,3.0,3.0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
334,2,95,0.06053165321763201,0,0,0.95,1.0,0.6,1.0,0,1,0,1,8.0,3.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
343,5,38,0.06053165321763201,0,0,1.0,1.0,1.0,1.0,1,1,0,0,4.0,5.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
348,4,26,0.12006301632607,0,0,0.6,1.0,1.7,1.0,0,1,0,0,37.0,6.0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
357,34,346,0.024282841576242,0,0,0.95,1.0,1.1,1.0,0,1,0,0,4.0,3.0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
358,51,313,0.06872539773982599,0,0,1.0,1.0,1.2,1.0,1,1,0,0,14.0,5.0,1,0,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
361,2,355,0.05955434747438901,0,0,1.0,1.0,1.7,1.0,1,1,0,0,1.0,6.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
364,15,302,0.067509343029661,0,0,1.0,1.0,1.7,1.0,1,1,0,1,11.0,6.0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
370,1,243,0.10173958364966,0,0,1.0,1.0,1.3,1.0,1,1,0,0,2.0,4.0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
373,4,219,0.08670908027133702,0,0,1.0,1.0,0.9,1.0,1,1,0,0,5.0,6.0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
